,numSyllables,score,word
0,1,3294.0,cost
1,1,2222.0,last
2,3,1368.0,holocaust
3,1,1251.0,frost
4,2,1179.0,accost
5,2,1121.0,exhaust
6,3,661.0,pentecost
7,2,407.0,embossed
8,1,378.0,prost
9,1,345.0,crossed
10,1,315.0,dost
11,2,314.0,defrost
12,1,259.0,jost
13,1,255.0,tossed
14,2,175.0,lacoste
15,1,157.0,glost
16,1,153.0,aust
17,1,152.0,rost
18,1,140.0,bost
19,2,119.0,jack frost
20,6,100.0,opportunity cost
21,2,88.0,crisscrossed
22,1,81.0,sauced
23,1,80.0,bossed
24,1,79.0,kost
25,3,71.0,unit cost
26,1,67.0,vhost
27,2,65.0,criss-crossed
28,1,62.0,glossed
29,1,58.0,drost
30,4,54.0,marginal cost
31,1,53.0,trost
32,3,48.0,robert frost
33,5,46.0,operating cost
34,1,45.0,flossed
35,4,37.0,carrying cost
36,4,36.0,at any cost
37,5,34.0,incremental cost
38,4,34.0,replacement cost
39,1,30.0,mossed
40,4,30.0,robert lee frost
41,4,28.0,average cost
42,1,22.0,brost
43,3,22.0,handling cost
44,5,21.0,differential cost
45,1,21.0,quast
46,1,19.0,maust
47,5,17.0,distribution cost
48,4,13.0,borrowing cost
49,1,13.0,droste
50,4,13.0,marketing cost
51,4,13.0,production cost
52,1,9.0,knost
53,5,7.0,reproduction cost
54,1,4.0,yoest
55,3,,armacost
56,3,,mini-cost
57,1,,pfost
